id,employee,dateSubmitted,requestStatus,requestType,locationName,notes
7,unassigned,2023-04-29 16:30:49.505746,Completed,Conference,Medical Records Conference Room Floor L1,Very needed
53,edunne,2023-05-02 04:30:48.31881,In-Progress,Office,CVRR Floor L2,Please bring with original packaging
51,user,2023-05-02 04:29:41.01016,Pending,Conference,Shapiro Board Room MapNode 20 Floor 1,Will need help with set up of tables
50,admin,2023-05-02 04:28:43.269185,Pending,Meal,75 Lobby Information Desk,Required by 2pm
43,user,2023-05-01 20:33:04.726449,Completed,Translation,Asthma Research Floor 1,
64,unassigned,2023-05-02 09:21:18.858608,Pending,Office,Clinical Trials,Would prefer different colors.
65,unassigned,2023-05-02 10:30:48.249867,Pending,Meal,15 Francis Security Desk Floor 2,
66,unassigned,2023-05-02 10:38:05.196445,Pending,Translation,15 Francis Security Desk Floor 2,
30,admin,2023-05-01 02:57:18.524351,Completed,Conference,BTM Conference Center,
67,admin,2023-05-02 11:23:21.48452,Pending,Translation,75 Lobby Information Desk,
59,jbalcazar,2023-05-02 04:41:57.153064,In-Progress,Furniture,75 Lobby Information Desk,None
68,user,2023-05-02 11:24:02.626334,Pending,Meal,75 Lobby Information Desk,
60,abreiling,2023-05-02 04:42:14.311797,Pending,Translation,75 Lobby Information Desk,sdkdjsakld
61,holmes1000,2023-05-02 04:42:38.781631,Pending,Furniture,75 Lobby Information Desk,
9,admin,2023-04-29 20:06:35.036497,Completed,Conference,Anesthesia Conf Floor L1,
48,employee,2023-05-02 04:23:51.483426,Pending,Conference,Medical Records Conference Room Floor L1,
13,sholmes,2023-04-30 01:17:36.091289,Pending,Conference,Shapiro Board Room MapNode 20 Floor 1,E
69,user,2023-05-02 11:44:46.037701,Pending,Flower,Ambulatory X-Ray Floor 1,
62,unassigned,2023-05-02 04:43:06.788228,Pending,Office,BTM Security Desk,Required ASAP
25,admin,2023-04-30 23:48:40.454465,Completed,Conference,BTM Conference Center,test
70,admin,2023-05-02 11:55:03.36049,Pending,Flower,75 Lobby Information Desk,
40,bborghensani,2023-05-01 17:20:16.379253,Pending,Furniture,15 Francis Security Desk Floor 2,Would prefer something with dark wood.
71,admin,2023-05-02 12:40:21.980073,Pending,Flower,Anesthesia Conf Floor L1,
63,jbalcazar,2023-05-02 04:45:21.530435,Pending,Office,Asthma Research Floor 1,
72,holmes1000,2023-05-03 02:09:57.706099,Pending,Translation,Asthma Research Floor 1,
52,edunne,2023-05-02 04:30:00.09759,Pending,Flower,Asthma Research Floor 1,
46,jbalcazar,2023-05-02 01:35:51.353008,Pending,Translation,15 Francis Security Desk Floor 2,Come quick please.
73,unassigned,2023-05-03 02:10:16.399486,In-Progress,Furniture,75 Lobby Information Desk,NONE
47,rbanerjee,2023-05-02 01:46:48.879429,Pending,Translation,75 Lobby Information Desk,help
39,msowad,2023-05-01 17:19:54.189428,In-Progress,Furniture,75 Lobby Information Desk,Needed ASAP
41,bborghensani,2023-05-01 17:21:24.759504,In-Progress,Office,15 Francis Security Desk Floor 2,
38,admin,2023-05-01 17:18:26.911988,In-Progress,Flower,15 Francis Security Desk Floor 2,None
