id,employee,dateSubmitted,requestStatus,requestType,locationName,notes
178,testAdmin,2023-04-12 00:00:00,Pending,Meal,15 Francis Security Desk Floor 2,null
179,testAdmin,2023-04-12 00:00:00,Pending,Flower,ATM MapNode 23 Floor 1,null
181,testEmployee,2023-04-12 00:00:00,Pending,Flower,15 Lobby Entrance Floor 2,null
182,admin,2023-04-12 00:00:00,Pending,Flower,15 Francis Security Desk Floor 2,null
184,testEmployee,2023-04-14 00:00:00,Pending,Flower,Ambulatory X-Ray Floor 1,null
185,admin,2023-04-14 00:00:00,Pending,Flower,Ambulance Parking Exit Floor 1,null
186,testEmployee,2023-04-14 00:00:00,Pending,Meal,15 Lobby Entrance Floor 2,null
188,testAdmin,2023-04-14 00:00:00,Pending,Flower,15 Lobby Entrance Floor 2,null
190,testAdmin,2023-04-14 00:00:00,Pending,Flower,ATM MapNode 23 Floor 1,null
193,testAdmin,2023-04-17 00:00:00,Pending,Flower,75 Francis Valet Drop-off,null
205,alisha,2023-04-18 00:00:00,Pending,Office,15 Lobby Entrance Floor 2,null
210,testAdmin,2023-04-18 00:00:00,Pending,Office,Anesthesia Conf Floor L1,null
212,staff,2023-04-18 00:00:00,Pending,Furniture,,null
213,staff,2023-04-18 00:00:00,Pending,Furniture,,null
214,staff,2023-04-18 00:00:00,Pending,Furniture,test3,null
215,admin,2023-04-18 00:00:00,Pending,Furniture,instruction,null
216,staff,2023-04-18 00:00:00,Pending,Furniture,SI,null
217,admin,2023-04-18 00:00:00,Pending,Furniture,Special,null
192,testAdmin,2023-04-15 00:00:00,Finished,Flower,Asthma Research Floor 1,null
191,testAdmin,2023-04-14 00:00:00,In-Progress,Flower,Bathroom 1 Tower Floor 3,null
218,testEmployee,2023-04-19 00:00:00,Pending,Office,15 Lobby Entrance Floor 2,null
219,staff,2023-04-19 00:00:00,Pending,Office,Chest Diseases Floor 2,null
221,Samara,2023-04-19 00:00:00,Pending,Flower,15 Lobby Entrance Floor 2,null
222,Samara,2023-04-19 00:00:00,Pending,Meal,15 Lobby Entrance Floor 2,null
224,holmes1000,2023-04-20 00:00:00,Pending,Meal,75 Francis Valet Drop-off,null
225,holmes1000,2023-04-20 00:00:00,Pending,Flower,15 Lobby Entrance Floor 2,null
176,admin,2023-04-12 00:00:00,Pending,Meal,Bathroom 2 Tower Floor 3,null
177,testAdmin,2023-04-12 00:00:00,Pending,Flower,75 Francis Valet Drop-off,null
227,holmes1000,2023-04-20 21:04:47.335644,Pending,Flower,15 Lobby Entrance Floor 2,says hi again
228,holmes1000,2023-04-20 21:13:44.776041,Pending,Furniture,15 Lobby Entrance Floor 2,big couch
229,holmes1000,2023-04-20 21:40:48.296869,Pending,Conference,75 Francis Valet Drop-off,cleorrr
230,holmes1000,2023-04-20 21:44:54.192971,Pending,Conference,75 Francis Valet Drop-off,CLEROOOO
231,holmes1000,2023-04-20 21:46:44.450148,Pending,Meal,Bathroom 1 Tower Floor 3,CLEORRR
232,holmes1000,2023-04-20 21:51:01.5207,Pending,Office,Bathroom 1 Tower Floor 3,CLEORRR
233,holmes1000,2023-04-20 22:47:57.715465,Pending,Conference,15 Francis Security Desk Floor 2,lukyjtfhd
237,alisha123,2023-04-21 15:22:17.39383,Pending,Meal,15 Lobby Entrance Floor 2,hgasjfchkbjnlk
238,holmes1000,2023-04-21 15:30:55.198201,Pending,Flower,Ambulance Parking Exit Floor 1,aljnlakcna
239,unassigned,2023-04-21 16:07:29.467542,Pending,Meal,15 Lobby Entrance Floor 2,hgfds
240,admin,2023-04-21 16:57:02.362487,Pending,Meal,15 Lobby Entrance Floor 2,hello
241,staff,2023-04-21 17:48:03.234147,Pending,Meal,75 Lobby Valet Cashier,
